Date,Company,Product,Category,Region,Quantity,Sales,Revenue
2025-01-01,MSI,Printer,Office Hardware,West,8,1440,1296.0
2025-01-01,Apple,Keyboard,Accessories,West,9,495,495.0
2025-01-01,Samsung,Keyboard,Accessories,East,6,330,313.5
2025-01-02,ASUS,Keyboard,Accessories,North,12,660,660.0
2025-01-02,MSI,Desktop PC,Computers,North,5,3500,3500.0
2025-01-03,AMD,Keyboard,Accessories,West,6,330,297.0
2025-01-03,Lenovo,Laptop,Computers,North,11,9350,8415.0
2025-01-03,MSI,Printer,Office Hardware,North,2,360,360.0
2025-01-04,Samsung,Laptop,Computers,South,4,3400,3230.0
2025-01-04,ASUS,Processor,Components,North,3,1050,997.5
2025-01-05,Apple,Printer,Office Hardware,South,13,2340,2340.0
2025-01-05,Samsung,Laptop,Computers,North,7,5950,5950.0
2025-01-05,Samsung,Printer,Office Hardware,East,9,1620,1620.0
2025-01-06,Lenovo,Processor,Components,West,5,1750,1750.0
2025-01-06,Acer,SSD,Storage,South,6,720,720.0
2025-01-07,ASUS,Desktop PC,Computers,West,10,7000,7000.0
2025-01-07,HP,Desktop PC,Computers,South,14,9800,9800.0
2025-01-07,Samsung,Keyboard,Accessories,South,12,660,594.0
2025-01-08,Acer,Monitor,Displays,South,12,3000,2850.0
2025-01-08,HP,Keyboard,Accessories,East,2,110,93.5
2025-01-09,ASUS,Tablet,Mobile Hardware,North,3,1200,1200.0
2025-01-09,Dell,Laptop,Computers,South,3,2550,2295.0
2025-01-09,AMD,Printer,Office Hardware,East,12,2160,1944.0
2025-01-10,Acer,Monitor,Displays,South,12,3000,2850.0
2025-01-10,Intel,Processor,Components,North,9,3150,3150.0
2025-01-11,Dell,Tablet,Mobile Hardware,South,7,2800,2520.0
2025-01-11,AMD,Processor,Components,East,8,2800,2800.0
2025-01-11,Lenovo,Desktop PC,Computers,North,11,7700,7700.0
2025-01-12,MSI,Desktop PC,Computers,East,10,7000,6650.0
2025-01-12,Apple,Keyboard,Accessories,North,11,605,574.75
2025-01-13,Intel,Laptop,Computers,North,9,7650,7650.0
2025-01-13,Lenovo,Monitor,Displays,West,6,1500,1275.0
2025-01-13,ASUS,Graphics Card,Components,West,4,2600,2470.0
2025-01-14,Lenovo,Tablet,Mobile Hardware,West,12,4800,4560.0
2025-01-14,MSI,Tablet,Mobile Hardware,North,1,400,340.0
2025-01-15,ASUS,Keyboard,Accessories,South,8,440,440.0
2025-01-15,Intel,Desktop PC,Computers,East,7,4900,4165.0
2025-01-15,MSI,Keyboard,Accessories,East,2,110,104.5
2025-01-16,HP,Printer,Office Hardware,East,8,1440,1440.0
2025-01-16,Apple,Monitor,Displays,West,12,3000,2700.0
2025-01-17,Intel,Laptop,Computers,North,5,4250,4037.5
2025-01-17,HP,SSD,Storage,West,7,840,756.0
2025-01-18,AMD,Mouse,Accessories,South,4,120,102.0
2025-01-18,Intel,Mouse,Accessories,North,5,150,135.0
2025-01-18,AMD,Keyboard,Accessories,East,8,440,418.0
2025-01-19,ASUS,Printer,Office Hardware,West,1,180,162.0
2025-01-19,HP,Monitor,Displays,West,1,250,237.5
2025-01-20,Apple,Graphics Card,Components,South,4,2600,2600.0
2025-01-20,MSI,Mouse,Accessories,South,3,90,81.0
2025-01-20,Samsung,Monitor,Displays,West,13,3250,3250.0
2025-01-21,Lenovo,Laptop,Computers,South,10,8500,7650.0
2025-01-21,Dell,Processor,Components,East,12,4200,3780.0
2025-01-22,Apple,Printer,Office Hardware,South,2,360,324.0
2025-01-22,HP,Desktop PC,Computers,South,12,8400,7980.0
2025-01-22,Samsung,Monitor,Displays,West,3,750,675.0
2025-01-23,Apple,Laptop,Computers,West,11,9350,8882.5
2025-01-23,HP,Graphics Card,Components,North,11,7150,6435.0
2025-01-24,Acer,SSD,Storage,North,14,1680,1680.0
2025-01-24,Acer,Desktop PC,Computers,West,11,7700,7700.0
2025-01-24,AMD,SSD,Storage,South,1,120,120.0
2025-01-25,Apple,Graphics Card,Components,South,1,650,617.5
2025-01-25,Acer,Laptop,Computers,North,6,5100,4845.0
2025-01-26,HP,Mouse,Accessories,North,5,150,135.0
2025-01-26,AMD,SSD,Storage,North,8,960,960.0
2025-01-26,HP,Desktop PC,Computers,East,2,1400,1330.0
2025-01-27,AMD,Keyboard,Accessories,East,4,220,220.0
